"","X","B365H","B365D","B365A","Season","Matchweek_round","Year","Month","Day","Hour","Minute","Referee","rPointsATM","rRankATM","rFTG_roll","rGC_roll","rS_roll","rST_roll","rF_roll","rC_roll","rY_roll","rR_roll","rOverallGK","rOverallDEF","rOverallMID","rOverallATT","r_attWorkRate","r_defWorkRate","r_avgPACE","r_avgSHOOTING","r_avgPASSING","r_avgDRIBBLING","r_avgDEFENDING","r_avgPHYSICALITY","r_avgHeight","r_avgWeight","r_avgAge","rSumWage","rSumValue","r_avgDIVING","r_avgHANDLING","r_avgKICKING","r_avgPOSITIONING","r_avgREFLEXES","r_avgSPEED","FTR"
"34",34,1.44,5,7.5,2014,7,2014,10,4,15,0,25,0.875,1.55555555555556,0.399999999999999,2.5,1.29268292682927,1.27272727272727,1.07692307692308,0.769230769230769,1,1,1.05128205128205,1.06551724137931,0.730593607305936,3,1.58823529411765,1.9,1.02668539325843,0.979623824451411,1.05429864253394,1.06966618287373,1.00664451827243,1.02567760342368,1.00050276520865,0.958620689655172,0.932659932659933,2.18905472636816,2.5465032444124,1.06329113924051,1.02597402597403,0.986301369863014,1.03896103896104,1.02439024390244,1.16326530612245,"H"
"35",35,2.55,3.25,3.1,2014,7,2014,10,4,15,0,27,0.625,1.7,0.666666666666667,0.666666666666667,0.795454545454546,0.909090909090907,0.860465116279069,1,1.125,1,0.902439024390244,0.986348122866894,0.580645161290323,2.92,1.63636363636364,1.23076923076923,1.08012326656394,0.996666666666667,0.949177877428998,1.01174743024963,0.915584415584416,0.957333333333333,0.97770237518177,0.973684210526316,0.986394557823131,0.723076923076923,0.55761316872428,0.892857142857143,0.91358024691358,0.945945945945946,0.8875,0.88235294117647,1.09090909090909,"H"
"36",36,1.91,3.7,4.33,2014,7,2014,10,4,15,0,19,3.33333333333333,0.2,1,0.714285714285717,0.459999999999999,0.416666666666668,1.12121212121212,0.368421052631579,0.499999999999998,3,0.949367088607595,0.986440677966102,1.02465753424658,1.06578947368421,1.23529411764706,1.07692307692308,0.987620357634113,1.01198630136986,1.01234567901235,1.00436046511628,0.906200317965024,0.965006729475101,0.980759743463249,0.985327313769753,0.965753424657535,0.971046770601336,1.22352216748768,0.938271604938272,0.886075949367089,1,0.986666666666667,0.988095238095238,1.14285714285714,"D"
"37",37,1.67,4.2,5.25,2014,7,2014,10,5,14,5,21,1.6,0.2,1.33333333333334,1,1.3,1.26666666666667,1.2962962962963,0.9,0.666666666666667,1,0.983220029239766,1.03514376996805,1.36776859504132,0.342741935483871,0.714285714285714,0.9375,0.984779299847793,1.07760141093474,0.962246777163905,0.954058417730808,1.12808903980381,1.03745494436609,1.01913024135246,1.12100934058274,1.04196642685851,0.930041152263374,0.835517693315858,0.96067959782392,0.976494000059849,1.06587301587302,1.02033174692049,0.973921394799055,1.10235749934332,"H"
"38",38,1.67,4.2,5.25,2014,7,2014,10,5,12,0,16,1.33333333333333,0.588235294117647,1.8,1.5,1.1025641025641,1.13333333333333,1.2,1.4,0.5,3,1.01219512195122,0.754901960784314,0.859375,2.2,0.782608695652174,0.789473684210526,1.1002025868786,1.12229679343773,1.10121991427629,1.13018597997139,0.891675374433995,0.973149384364338,1.00528700906344,0.96266195524146,0.887096774193548,2.54385964912281,3.16358024691358,1.03571428571429,0.974025974025974,1.13157894736842,0.926829268292683,1.06024096385542,1.08163265306122,"H"
"39",39,2.2,3.5,3.5,2014,7,2014,10,5,14,5,24,0.615384615384615,3.66666666666667,0.428571428571429,3.99999999999999,0.700000000000002,0.55,0.976190476190479,1.26666666666667,1.5,1,1.13333333333333,0.745033112582781,0.984415584415584,1.03896103896104,1.05882352941176,0.6875,1.05050505050505,1.0776662950576,1.03990726941547,1.02072619604176,0.876068376068377,0.937546358107105,0.998218703612072,0.968865740740741,0.981720430107525,1.43725490196078,1.30402010050251,1.19444444444444,1.06578947368421,1.01428571428571,1.08,1.1,1.6,"H"
"40",40,1.91,3.6,4.5,2014,7,2014,10,5,16,15,4,1.75,0.888888888888889,2,0.625,1.05,1.66666666666667,1.4,1.92857142857143,2.66666666666667,1,1.01333333333333,1.25652173913043,0.692134831460674,1.94594594594595,1.0625,0.705882352941177,1.03542234332425,1.05923344947735,1,1.00145772594752,0.9344,0.944594594594595,0.972276264591441,0.926136363636364,0.943143812709028,1.08139534883721,1.17852348993289,0.9375,1.10144927536232,0.972972972972973,1.04166666666667,1,1.25,"H"
"41",41,1.4,5,9,2014,8,2014,10,18,15,0,32,1.11111111111111,0.636363636363636,0.666666666666665,0.5,1,0.900000000000001,0.962962962962963,2,3,1,1.17647058823529,0.814207650273224,1.07023411371237,2.25,1.5,1,1.07365439093484,1.11013986013986,1.1078125,1.11390532544379,0.903726708074534,0.96986301369863,0.977733795150916,0.926658905704308,0.919191919191918,2.87878787878788,3.3264374809857,1.27692307692308,1.11267605633803,1,1.04109589041096,1.35483870967742,1.04651162790698,"D"
"42",42,2.8,3.4,2.7,2014,8,2014,10,18,15,0,16,0.4,2.25,0.333333333333333,2,1,0.857142857142857,0.921052631578948,0.416666666666666,0.555555555555557,1,0.947368421052632,0.96551724137931,0.905537459283388,0.979166666666667,1.125,1.17647058823529,0.984593837535014,0.917898193760263,0.94333843797856,0.995515695067264,0.869706840390879,0.964838255977497,1.00199501246883,1.00361010830325,1.03484320557491,0.415909090909091,0.40167865707434,0.973333333333333,0.947368421052632,0.958333333333333,0.96,0.925925925925926,1.17777777777778,"A"
"43",43,8.5,4.75,1.44,2014,8,2014,10,18,15,0,7,0.421052631578947,13,0.833333333333335,3.99999999999999,1.32142857142857,0.846153846153847,1.10810810810811,1.07692307692308,0.399999999999999,1,0.956936013997754,0.907407407407407,1.31325301204819,0,1,0.823529411764706,0.916463414634146,0.859364548494984,0.897165354330708,0.890292758089368,0.907425742574258,1.05304212168487,1.00566120699132,0.97979797979798,1.04903809883063,0.293577981651376,0.224066390041494,0.992241574893349,0.921595910287702,0.938632889277134,0.942794641252261,0.967313033452019,0.868403741268778,"A"
